 78, 30e,  4, 1, 0, 0, 0, 8, 00 0e 00 11 01 f6 00 66, , 11:28:42.128 12-20-2022
 78, 30e,  4, 1, 0, 1, 0, 8, 01 5e 1a 03 70 00 77 00, , 11:28:42.128 12-20-2022
 78, 30e,  4, 1, 0, 2, 1, 5, 4f 42 01 6f 78         , , 11:28:42.128 12-20-2022
30e,  78,  5, 0, 0, 0, 1, 4, 30 00 00 00            , , 11:28:52.141 12-20-2022
 78, 30e,  5, 1, 0, 0, 0, 8, 00 0e 00 11 01 f6 00 67, , 11:28:52.143 12-20-2022
 78, 30e,  5, 1, 0, 1, 0, 8, 01 5e 1a 03 98 00 75 00, , 11:28:52.143 12-20-2022
 78, 30e,  5, 1, 0, 2, 1, 5, 4e 43 01 6f 78         , , 11:28:52.143 12-20-2022
30e,  78,  6, 0, 0, 0, 1, 4, 30 00 00 00            , , 11:29:02.155 12-20-2022
 78, 30e,  6, 1, 0, 0, 0, 8, 00 0e 00 11 01 f6 00 66, , 11:29:02.157 12-20-2022
 78, 30e,  6, 1, 0, 1, 0, 8, 01 5e 1a 03 98 00 77 00, , 11:29:02.158 12-20-2022
 78, 30e,  6, 1, 0, 2, 1, 5, 4f 42 01 6f 78         , , 11:29:02.158 12-20-2022
30d,  78,  7, 0, 0, 0, 1, 4, 9e 00 00 00            , , 11:29:02.275 12-20-2022
 78, 30d,  7, 0, 1, 0, 1, 1, 06                     , , 11:29:02.277 12-20-2022
 78, 30d,  7, 1, 0, 0, 1, 4, 80 00 00 00            , , 11:29:02.358 12-20-2022
30d,  78,  7, 1, 1, 0, 1, 1, 06                     , , 11:29:02.358 12-20-2022
30e,  78,  7, 0, 0, 0, 1, 4, 30 00 00 00            , , 11:29:12.169 12-20-2022
 78, 30e,  7, 1, 0, 0, 0, 8, 00 0e 00 11 01 f6 00 66, , 11:29:12.172 12-20-2022
 78, 30e,  7, 1, 0, 1, 0, 8, 01 5e 24 03 98 00 77 00, , 11:29:12.172 12-20-2022
 78, 30e,  7, 1, 0, 2, 1, 5, 4f 42 01 6f 78         , , 11:29:12.172 12-20-2022
30e,  78,  8, 0, 0, 0, 1, 4, 30 00 00 00            , , 11:29:22.184 12-20-2022
 78, 30e,  8, 1, 0, 0, 0, 8, 00 0e 00 11 01 f6 00 66, , 11:29:22.186 12-20-2022
